crop_name	adm_id	year	ndvi
maize	IN-06-2058	2001	0.303179487
maize	IN-06-2058	2002	0.288261905
maize	IN-06-2058	2003	0.312675
maize	IN-06-2058	2004	0.339825
maize	IN-06-2058	2005	0.35655814
maize	IN-06-2058	2006	0.342641026
maize	IN-06-2058	2007	0.38672093
maize	IN-06-2058	2008	0.386692308
maize	IN-06-2058	2009	0.370973684
maize	IN-06-2058	2010	0.376166667
maize	IN-06-2058	2011	0.377657895
maize	IN-06-2058	2012	0.370846154
maize	IN-06-2058	2013	0.389432432
maize	IN-06-2058	2014	0.399375
maize	IN-06-2058	2015	0.3968
maize	IN-06-2058	2016	0.370394737
maize	IN-06-2058	2017	0.400153846
maize	IN-06-2058	2018	0.382135135
maize	IN-06-2058	2019	0.415
maize	IN-06-2058	2020	0.485860465
maize	IN-06-2058	2021	0.443341463
maize	IN-06-2058	2022	0.472075
maize	IN-06-2058	2023	0.457461538
maize	IN-06-0031	2001	0.309146341
maize	IN-06-0031	2002	0.288880952
maize	IN-06-0031	2003	0.294073171
maize	IN-06-0031	2004	0.320674419
maize	IN-06-0031	2005	0.356022222
maize	IN-06-0031	2006	0.336358974
maize	IN-06-0031	2007	0.370666667
maize	IN-06-0031	2008	0.364794872
maize	IN-06-0031	2009	0.347571429
maize	IN-06-0031	2010	0.345536585
maize	IN-06-0031	2011	0.376263158
maize	IN-06-0031	2012	0.384595238
maize	IN-06-0031	2013	0.386513514
maize	IN-06-0031	2014	0.396268293
maize	IN-06-0031	2015	0.391790698
maize	IN-06-0031	2016	0.380585366
maize	IN-06-0031	2017	0.413926829
maize	IN-06-0031	2018	0.388026316
maize	IN-06-0031	2019	0.413078947
maize	IN-06-0031	2020	0.457930233
maize	IN-06-0031	2021	0.427046512
maize	IN-06-0031	2022	0.472904762
maize	IN-06-0031	2023	0.48197619
maize	IN-06-2006	2001	0.334625
maize	IN-06-2006	2002	0.330923077
maize	IN-06-2006	2003	0.345435897
maize	IN-06-2006	2004	0.361102564
maize	IN-06-2006	2005	0.3754
maize	IN-06-2006	2006	0.375921053
maize	IN-06-2006	2007	0.393317073
maize	IN-06-2006	2008	0.402552632
maize	IN-06-2006	2009	0.379763158
maize	IN-06-2006	2010	0.384375
maize	IN-06-2006	2011	0.380305556
maize	IN-06-2006	2012	0.387513514
maize	IN-06-2006	2013	0.421176471
maize	IN-06-2006	2014	0.400589744
maize	IN-06-2006	2015	0.406461538
maize	IN-06-2006	2016	0.411594595
maize	IN-06-2006	2017	0.422864865
maize	IN-06-2006	2018	0.3945
maize	IN-06-2006	2019	0.435485714
maize	IN-06-2006	2020	0.486133333
maize	IN-06-2006	2021	0.451342105
maize	IN-06-2006	2022	0.472384615
maize	IN-06-2006	2023	0.449605263
maize	IN-06-1071	2001	0.390609756
maize	IN-06-1071	2002	0.392522727
maize	IN-06-1071	2003	0.412047619
maize	IN-06-1071	2004	0.435522727
maize	IN-06-1071	2005	0.433651163
maize	IN-06-1071	2006	0.416097561
maize	IN-06-1071	2007	0.430204545
maize	IN-06-1071	2008	0.43065
maize	IN-06-1071	2009	0.427955556
maize	IN-06-1071	2010	0.436380952
maize	IN-06-1071	2011	0.443487805
maize	IN-06-1071	2012	0.441131579
maize	IN-06-1071	2013	0.4701
maize	IN-06-1071	2014	0.48104878
maize	IN-06-1071	2015	0.466837209
maize	IN-06-1071	2016	0.437026316
maize	IN-06-1071	2017	0.457128205
maize	IN-06-1071	2018	0.439375
maize	IN-06-1071	2019	0.456675
maize	IN-06-1071	2020	0.543461538
maize	IN-06-1071	2021	0.497425
maize	IN-06-1071	2022	0.4817
maize	IN-06-1071	2023	0.498
maize	IN-06-1081	2001	0.362952381
maize	IN-06-1081	2002	0.355465116
maize	IN-06-1081	2003	0.36504878
maize	IN-06-1081	2004	0.372813953
maize	IN-06-1081	2005	0.388866667
maize	IN-06-1081	2006	0.381190476
maize	IN-06-1081	2007	0.40202381
maize	IN-06-1081	2008	0.388657895
maize	IN-06-1081	2009	0.422906977
maize	IN-06-1081	2010	0.413255814
maize	IN-06-1081	2011	0.430261905
maize	IN-06-1081	2012	0.396585366
maize	IN-06-1081	2013	0.4372
maize	IN-06-1081	2014	0.428475
maize	IN-06-1081	2015	0.417232558
maize	IN-06-1081	2016	0.41125641
maize	IN-06-1081	2017	0.432075
maize	IN-06-1081	2018	0.381945946
maize	IN-06-1081	2019	0.420472222
maize	IN-06-1081	2020	0.498704545
maize	IN-06-1081	2021	0.45097619
maize	IN-06-1081	2022	0.472642857
maize	IN-06-1081	2023	0.460230769
maize	IN-06-0008	2001	0.464341463
maize	IN-06-0008	2002	0.458121951
maize	IN-06-0008	2003	0.494604651
maize	IN-06-0008	2004	0.482452381
maize	IN-06-0008	2005	0.493395349
maize	IN-06-0008	2006	0.4972
maize	IN-06-0008	2007	0.491170732
maize	IN-06-0008	2008	0.496358974
maize	IN-06-0008	2009	0.484318182
maize	IN-06-0008	2010	0.495076923
maize	IN-06-0008	2011	0.499675
maize	IN-06-0008	2012	0.501225
maize	IN-06-0008	2013	0.507205128
maize	IN-06-0008	2014	0.527833333
maize	IN-06-0008	2015	0.527511628
maize	IN-06-0008	2016	0.488526316
maize	IN-06-0008	2017	0.498179487
maize	IN-06-0008	2018	0.482871795
maize	IN-06-0008	2019	0.517073171
maize	IN-06-0008	2020	0.566860465
maize	IN-06-0008	2021	0.535928571
