crop_name	adm_id	year	fpar
maize	IN-06-2058	2001	28.94052778
maize	IN-06-2058	2002	27.29105556
maize	IN-06-2058	2003	28.55922222
maize	IN-06-2058	2004	30.55830556
maize	IN-06-2058	2005	33.523
maize	IN-06-2058	2006	30.62463889
maize	IN-06-2058	2007	35.12105556
maize	IN-06-2058	2008	35.68486111
maize	IN-06-2058	2009	34.72413889
maize	IN-06-2058	2010	33.90775
maize	IN-06-2058	2011	34.44188889
maize	IN-06-2058	2012	33.66980556
maize	IN-06-2058	2013	37.26927778
maize	IN-06-2058	2014	37.73736111
maize	IN-06-2058	2015	36.71461111
maize	IN-06-2058	2016	35.52722222
maize	IN-06-2058	2017	39.08077778
maize	IN-06-2058	2018	35.51677778
maize	IN-06-2058	2019	38.01416667
maize	IN-06-2058	2020	44.35788889
maize	IN-06-2058	2021	38.81725
maize	IN-06-2058	2022	42.08555556
maize	IN-06-2058	2023	42.51580556
maize	IN-06-0031	2001	27.35986111
maize	IN-06-0031	2002	26.94011111
maize	IN-06-0031	2003	26.99141667
maize	IN-06-0031	2004	27.41502778
maize	IN-06-0031	2005	31.16927778
maize	IN-06-0031	2006	29.50377778
maize	IN-06-0031	2007	32.80188889
maize	IN-06-0031	2008	32.69436111
maize	IN-06-0031	2009	30.96852778
maize	IN-06-0031	2010	31.58127778
maize	IN-06-0031	2011	33.38055556
maize	IN-06-0031	2012	34.16244444
maize	IN-06-0031	2013	34.72591667
maize	IN-06-0031	2014	36.47305556
maize	IN-06-0031	2015	35.25622222
maize	IN-06-0031	2016	33.43297222
maize	IN-06-0031	2017	36.92555556
maize	IN-06-0031	2018	35.41997222
maize	IN-06-0031	2019	36.08852778
maize	IN-06-0031	2020	39.92966667
maize	IN-06-0031	2021	36.53880556
maize	IN-06-0031	2022	40.43863889
maize	IN-06-0031	2023	42.05772222
maize	IN-06-2006	2001	29.72505556
maize	IN-06-2006	2002	30.85455556
maize	IN-06-2006	2003	33.90566667
maize	IN-06-2006	2004	33.54155556
maize	IN-06-2006	2005	35.35411111
maize	IN-06-2006	2006	34.24319444
maize	IN-06-2006	2007	36.39163889
maize	IN-06-2006	2008	35.82011111
maize	IN-06-2006	2009	36.09252778
maize	IN-06-2006	2010	37.10713889
maize	IN-06-2006	2011	36.04780556
maize	IN-06-2006	2012	35.68475
maize	IN-06-2006	2013	38.51880556
maize	IN-06-2006	2014	39.36675
maize	IN-06-2006	2015	39.98930556
maize	IN-06-2006	2016	39.31925
maize	IN-06-2006	2017	41.89541667
maize	IN-06-2006	2018	38.25833333
maize	IN-06-2006	2019	41.00166667
maize	IN-06-2006	2020	45.45172222
maize	IN-06-2006	2021	43.54744444
maize	IN-06-2006	2022	44.50788889
maize	IN-06-2006	2023	43.99655556
maize	IN-06-1071	2001	34.75597222
maize	IN-06-1071	2002	35.21938889
maize	IN-06-1071	2003	35.45625
maize	IN-06-1071	2004	39.10805556
maize	IN-06-1071	2005	37.81202778
maize	IN-06-1071	2006	37.20411111
maize	IN-06-1071	2007	38.45202778
maize	IN-06-1071	2008	37.86405556
maize	IN-06-1071	2009	39.15416667
maize	IN-06-1071	2010	40.08005556
maize	IN-06-1071	2011	39.06930556
maize	IN-06-1071	2012	40.43155556
maize	IN-06-1071	2013	44.64769444
maize	IN-06-1071	2014	43.89375
maize	IN-06-1071	2015	43.75913889
maize	IN-06-1071	2016	41.42427778
maize	IN-06-1071	2017	43.74883333
maize	IN-06-1071	2018	42.4935
maize	IN-06-1071	2019	44.61266667
maize	IN-06-1071	2020	50.07883333
maize	IN-06-1071	2021	47.03241667
maize	IN-06-1071	2022	46.49055556
maize	IN-06-1071	2023	47.45388889
maize	IN-06-1081	2001	31.46080556
maize	IN-06-1081	2002	31.12616667
maize	IN-06-1081	2003	32.41897222
maize	IN-06-1081	2004	32.91669444
maize	IN-06-1081	2005	32.38738889
maize	IN-06-1081	2006	32.31413889
maize	IN-06-1081	2007	34.93361111
maize	IN-06-1081	2008	34.70075
maize	IN-06-1081	2009	36.92419444
maize	IN-06-1081	2010	36.56530556
maize	IN-06-1081	2011	35.98441667
maize	IN-06-1081	2012	35.25522222
maize	IN-06-1081	2013	38.94005556
maize	IN-06-1081	2014	39.84691667
maize	IN-06-1081	2015	37.44111111
maize	IN-06-1081	2016	36.56686111
maize	IN-06-1081	2017	38.31213889
maize	IN-06-1081	2018	34.63811111
maize	IN-06-1081	2019	39.33941667
maize	IN-06-1081	2020	43.19141667
maize	IN-06-1081	2021	39.10077778
maize	IN-06-1081	2022	42.60138889
