crop_name	adm_id	year	ssm	rsm
maize	IN-06-2058	2003	4.151949102	284.1876198
maize	IN-06-2058	2004	4.32807377	289.4453525
maize	IN-06-2058	2005	3.784531507	281.3487644
maize	IN-06-2058	2006	4.368183562	291.0413973
maize	IN-06-2058	2007	4.812723288	294.7779205
maize	IN-06-2058	2008	4.672846575	290.9046521
maize	IN-06-2058	2009	4.141841096	284.7564575
maize	IN-06-2058	2010	4.167578082	286.2608411
maize	IN-06-2058	2011	4.680493151	302.0715178
maize	IN-06-2058	2012	4.983920765	299.8017459
maize	IN-06-2058	2013	5.616208219	316.3932055
maize	IN-06-2058	2014	5.219506849	298.5788
maize	IN-06-2058	2015	5.223413699	295.9448795
maize	IN-06-2058	2016	4.963147541	304.0296585
maize	IN-06-2058	2017	4.733926027	289.5121041
maize	IN-06-2058	2018	4.610553425	293.0399753
maize	IN-06-2058	2019	5.01580274	308.2208164
maize	IN-06-2058	2020	5.076308743	293.0592295
maize	IN-06-2058	2021	5.130986301	300.0287918
maize	IN-06-2058	2022	5.046032877	298.0112
maize	IN-06-2058	2023	5.102983562	295.8800548
maize	IN-06-0031	2003	3.917979042	260.275479
maize	IN-06-0031	2004	4.325639344	270.7100874
maize	IN-06-0031	2005	3.959808219	260.1683644
maize	IN-06-0031	2006	4.387772603	270.1608986
maize	IN-06-0031	2007	4.701252055	272.8380603
maize	IN-06-0031	2008	4.54249589	269.0013918
maize	IN-06-0031	2009	3.819282192	260.3899096
maize	IN-06-0031	2010	3.82250137	262.0059781
maize	IN-06-0031	2011	4.465824658	277.3497562
maize	IN-06-0031	2012	4.633300546	274.9445055
maize	IN-06-0031	2013	5.141643836	288.8714877
maize	IN-06-0031	2014	4.822490411	275.1948822
maize	IN-06-0031	2015	4.641821918	268.1759945
maize	IN-06-0031	2016	4.489568306	276.5978388
maize	IN-06-0031	2017	4.242621918	265.371611
maize	IN-06-0031	2018	4.322542466	270.219274
maize	IN-06-0031	2019	4.600747945	285.591211
maize	IN-06-0031	2020	4.665931694	268.8763661
maize	IN-06-0031	2021	4.821728767	277.4650603
maize	IN-06-0031	2022	4.50790137	271.2587726
maize	IN-06-0031	2023	4.676408219	269.9421068
maize	IN-06-2006	2003	4.411155689	293.3447754
maize	IN-06-2006	2004	4.435112022	292.6299945
maize	IN-06-2006	2005	4.300745205	292.9013726
maize	IN-06-2006	2006	4.8996	308.457863
maize	IN-06-2006	2007	5.515205479	313.5744329
maize	IN-06-2006	2008	5.287723288	302.8415644
maize	IN-06-2006	2009	4.498460274	288.0003699
maize	IN-06-2006	2010	4.537230137	291.8668466
maize	IN-06-2006	2011	4.734290411	298.9724466
