crop_name	adm_id	year	tmin	tmax	prec	rad	tavg	et0	vpd	cwb
maize	IN-06-2058	2001	19.84032329	31.66605479	2.428567123	18826774.81	25.63510685	5.145219178	33.07381096	-2.716652055
maize	IN-06-2058	2002	20.33029041	32.3652137	1.596838356	19305809.23	26.28143014	5.485931507	35.61621644	-3.889093151
maize	IN-06-2058	2003	20.37410411	31.70431233	1.653347945	18558570.3	25.97628219	5.1294	32.80441918	-3.476052055
maize	IN-06-2058	2004	20.31867213	31.9627377	2.616915301	19025248.4	26.05548907	5.274901639	33.79212022	-2.657986339
maize	IN-06-2058	2005	19.56241096	31.27210137	1.680528767	18999351.76	25.34822192	5.152778082	32.59607123	-3.472249315
maize	IN-06-2058	2006	20.37713425	31.82825753	3.061443836	18505704.29	26.05678904	5.044742466	32.3748411	-1.98329863
maize	IN-06-2058	2007	19.83153151	31.39400548	2.254284932	18844627.12	25.5147863	4.975684932	31.38158904	-2.7214
maize	IN-06-2058	2008	19.46631694	30.96720765	2.343224044	18554733	25.06625683	4.91626776	30.23762295	-2.573043716
maize	IN-06-2058	2009	20.54563288	31.93301644	2.177621918	18830282.98	26.21270411	5.147068493	32.39951233	-2.969446575
maize	IN-06-2058	2010	21.09705753	32.32933425	1.977863014	18521224.92	26.67035342	5.247564384	34.02724384	-3.26970137
maize	IN-06-2058	2011	20.13958356	31.53687397	3.164326027	18291542.73	25.7984137	4.91369863	31.8100137	-1.749372603
maize	IN-06-2058	2012	19.67124044	31.17521311	3.031647541	18533407.88	25.35868306	5.034882514	31.81001366	-2.003234973
maize	IN-06-2058	2013	19.64488767	30.4763726	3.618794521	17485675.65	24.90503562	4.614186301	28.26461644	-0.995391781
maize	IN-06-2058	2014	20.24929041	31.21708219	2.499342466	18661653.7	25.62968493	4.954076712	30.72507397	-2.454734247
maize	IN-06-2058	2015	20.62689041	31.61602466	2.932838356	18287121.24	25.92051233	4.922517808	31.36637808	-1.989679452
maize	IN-06-2058	2016	20.64952186	31.9924071	3.656551913	18170868.7	26.13001913	4.949095628	31.96701913	-1.292543716
maize	IN-06-2058	2017	20.25541644	31.50304932	2.283238356	18555526.71	25.67587123	4.953668493	30.97636986	-2.670430137
