crop_name	country_code	adm_id	season_name	planting_year	planting_date	harvest_year	harvest_date	yield	production	planted_area	harvest_area
maize	IN	IN-14-0001				1990		0.5	100		200
maize	IN	IN-14-0001				1991		1	100		100
maize	IN	IN-14-0001				1992		2	200		100
maize	IN	IN-14-0001				1993		1	100		100
maize	IN	IN-14-0001				1994		1	200		200
maize	IN	IN-14-0001				1995		2	200		100
maize	IN	IN-14-0001				1996		1	100		100
maize	IN	IN-14-0001				1997		1	100		100
maize	IN	IN-14-0001				1998		1	100		100
maize	IN	IN-14-0001				1999		1.222	220		180
maize	IN	IN-14-0001				2000		0.893	250		280
maize	IN	IN-14-0001				2001		0.576	190		330
maize	IN	IN-14-0001				2002		0.926	250		270
maize	IN	IN-14-0001				2003		1	290		290
maize	IN	IN-14-0001				2004		1.227	270		220
maize	IN	IN-14-0001				2005		1.227	270		220
maize	IN	IN-14-0001				2006		0.893	250		280
maize	IN	IN-14-0001				2007		1.194	370		310
maize	IN	IN-14-0001				2008		1.038	270		260
maize	IN	IN-14-0001				2009		0.833	250		300
maize	IN	IN-14-0001				2010		1.5	600		400
maize	IN	IN-14-0001				2011		1.2	180		150
maize	IN	IN-14-0001				2012		1.583	190		120
maize	IN	IN-14-0001				2013		1.111	200		180
maize	IN	IN-14-0001				2014		1.204	590		490
maize	IN	IN-14-0001				2015		1.556	280		180
maize	IN	IN-14-0001				2016		2.091	410		200
maize	IN	IN-14-0001				2017		1.864	840		450
maize	IN	IN-14-0002				1990		1.476	40600		27500
maize	IN	IN-14-0002				1991		1.484	40800		27500
maize	IN	IN-14-0002				1992		1.684	46300		27500
maize	IN	IN-14-0002				1993		1.614	43900		27200
maize	IN	IN-14-0002				1994		1.263	32200		25500
maize	IN	IN-14-0002				1995		1.684	41600		24700
maize	IN	IN-14-0002				1996		1.586	38700		24400
maize	IN	IN-14-0002				1997		1.392	34100		24500
maize	IN	IN-14-0002				1998		1.512	39000		25800
maize	IN	IN-14-0002				1999		1.993	26880		13490
maize	IN	IN-14-0002				2000		1.635	22510		13770
maize	IN	IN-14-0002				2001		0.972	13260		13640
maize	IN	IN-14-0002				2002		1.562	21540		13790
maize	IN	IN-14-0002				2003		1.692	25450		15040
maize	IN	IN-14-0002				2004		1.741	27590		15850
maize	IN	IN-14-0002				2005		1.741	27590		15850
maize	IN	IN-14-0002				2006		1.289	21090		16360
maize	IN	IN-14-0002				2007		1.781	30040		16870
