crop_name	adm_id	year	tmin	tmax	prec	rad	tavg	et0	vpd	cwb
wheat	IN-06-2058	2001	19.75053425	31.45311507	2.325334247	18830219.37	25.48504658	5.109353425	32.44369041	-2.784019178
wheat	IN-06-2058	2002	20.18343288	32.11514795	1.620536986	19302822.77	26.07565205	5.432917808	34.83725753	-3.812380822
wheat	IN-06-2058	2003	20.24860548	31.48043836	1.693454795	18574417.36	25.79493151	5.09250411	32.13645205	-3.399049315
wheat	IN-06-2058	2004	20.16211475	31.70637978	2.552592896	19013639.09	25.84375956	5.221543716	32.9927541	-2.66895082
wheat	IN-06-2058	2005	19.43770137	31.03559726	1.678583562	18999472.17	25.15901918	5.113438356	31.91695616	-3.434854795
wheat	IN-06-2058	2006	20.24559726	31.59482466	3.096463014	18510173.37	25.87745205	5.003558904	31.69769589	-1.90709589
wheat	IN-06-2058	2007	19.7490137	31.18669589	2.258	18837559.16	25.36927123	4.937865753	30.78925753	-2.679865753
wheat	IN-06-2058	2008	19.3727377	30.73315301	2.35902459	18550571.9	24.90223224	4.88334153	29.58506011	-2.52431694
wheat	IN-06-2058	2009	20.42329589	31.71036712	2.226131507	18836982.48	26.03771781	5.110008219	31.73957534	-2.883876712
wheat	IN-06-2058	2010	20.95236986	32.11758082	2.00580274	18531024.38	26.49034247	5.204350685	33.34684658	-3.198547945
wheat	IN-06-2058	2011	20.0208137	31.30946575	3.148931507	18290739.28	25.62276712	4.875380822	31.14592603	-1.726449315
wheat	IN-06-2058	2012	19.57794262	30.96837705	3.123983607	18544213.07	25.21095082	5.002448087	31.21767486	-1.878464481
wheat	IN-06-2058	2013	19.56715616	30.26974247	3.589076712	17483408.61	24.76741918	4.586109589	27.73323288	-0.997032877
wheat	IN-06-2058	2014	20.14168219	31.01501644	2.495213699	18655566.2	25.47436712	4.916408219	30.12976986	-2.421194521
wheat	IN-06-2058	2015	20.50897808	31.38651781	2.995375342	18288409.13	25.74910137	4.884169863	30.67881096	-1.888794521
wheat	IN-06-2058	2016	20.53220219	31.77133333	3.713803279	18174834.25	25.96426503	4.914382514	31.33427869	-1.200579235
wheat	IN-06-2058	2017	20.16234795	31.29191781	2.304235616	18543610.66	25.52541096	4.923087671	30.36823288	-2.618852055
wheat	IN-06-2058	2018	20.22124658	31.55698904	2.86850411	18075969.28	25.74201644	4.93469863	32.04505753	-2.066194521
wheat	IN-06-2058	2019	20.40346301	30.68855068	4.785238356	17453956.87	25.29972603	4.667865753	28.16009863	0.117372603
wheat	IN-06-2058	2020	19.91393443	30.92285519	2.638612022	18249831.3	25.11140984	4.678259563	28.11022678	-2.039647541
wheat	IN-06-2058	2021	19.66244384	30.5553726	3.186208219	17879118.25	24.7817589	4.546534247	26.77250959	-1.360326027
wheat	IN-06-2058	2022	20.04829863	31.30350411	3.251375342	18599255.51	25.40019178	4.873926027	30.21611233	-1.622550685
wheat	IN-06-2058	2023	19.86902192	30.66147671	2.68810137	18053929.8	24.9839726	4.5946	26.99070685	-1.90649863
wheat	IN-06-2058	2001	19.75053425	31.45311507	2.325334247	18830219.37	25.48504658	5.109353425	32.44369041	-2.784019178
wheat	IN-06-2058	2002	20.18343288	32.11514795	1.620536986	19302822.77	26.07565205	5.432917808	34.83725753	-3.812380822
wheat	IN-06-2058	2003	20.24860548	31.48043836	1.693454795	18574417.36	25.79493151	5.09250411	32.13645205	-3.399049315
wheat	IN-06-2058	2004	20.16211475	31.70637978	2.552592896	19013639.09	25.84375956	5.221543716	32.9927541	-2.66895082
wheat	IN-06-2058	2005	19.43770137	31.03559726	1.678583562	18999472.17	25.15901918	5.113438356	31.91695616	-3.434854795
wheat	IN-06-2058	2006	20.24559726	31.59482466	3.096463014	18510173.37	25.87745205	5.003558904	31.69769589	-1.90709589
wheat	IN-06-2058	2007	19.7490137	31.18669589	2.258	18837559.16	25.36927123	4.937865753	30.78925753	-2.679865753
wheat	IN-06-2058	2008	19.3727377	30.73315301	2.35902459	18550571.9	24.90223224	4.88334153	29.58506011	-2.52431694
wheat	IN-06-2058	2009	20.42329589	31.71036712	2.226131507	18836982.48	26.03771781	5.110008219	31.73957534	-2.883876712
wheat	IN-06-2058	2010	20.95236986	32.11758082	2.00580274	18531024.38	26.49034247	5.204350685	33.34684658	-3.198547945
wheat	IN-06-2058	2011	20.0208137	31.30946575	3.148931507	18290739.28	25.62276712	4.875380822	31.14592603	-1.726449315
wheat	IN-06-2058	2012	19.57794262	30.96837705	3.123983607	18544213.07	25.21095082	5.002448087	31.21767486	-1.878464481
wheat	IN-06-2058	2013	19.56715616	30.26974247	3.589076712	17483408.61	24.76741918	4.586109589	27.73323288	-0.997032877
wheat	IN-06-2058	2014	20.14168219	31.01501644	2.495213699	18655566.2	25.47436712	4.916408219	30.12976986	-2.421194521
wheat	IN-06-2058	2015	20.50897808	31.38651781	2.995375342	18288409.13	25.74910137	4.884169863	30.67881096	-1.888794521
