crop_name	adm_id	latitude	longitude	region_area	harvest_year	yield	production	harvest_area	awc	bulk_density	drainage_class	ssm	rsm	ndvi	tmin	tmax	prec	rad	tavg	et0	vpd	cwb	fpar	crop_area	crop_area_percentage
wheat	IN-14-0001	21.45938	81.25028	2296	2003	0.77	15050	19550	10.71	1.591	4	5.652338323	322.4620389	0.383071429	21.14983836	31.77776438	5.226542466	17811277.16	26.25378356	4.531750685	30.30243562	0.694791781	28.77755556	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2004	0.605	11590	19160	10.71	1.591	4	5.429581967	290.5724645	0.414142857	20.58939071	31.6941776	3.247295082	18941321.24	25.82322131	4.643636612	29.39888525	-1.39634153	33.68497222	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2005	0.605	11590	19160	10.71	1.591	4	5.094736986	289.1071479	0.414560976	20.87848493	31.7892274	3.512926027	18529073	26.08745479	4.577147945	30.6079726	-1.064221918	32.39372222	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2006	0.754	14400	19090	10.71	1.591	4	5.381131507	288.8215397	0.407292683	20.89459726	31.81831233	3.247493151	18353206.29	26.05664932	4.525323288	28.77580548	-1.277830137	33.24613889	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2007	0.963	19430	20170	10.71	1.591	4	5.64330137	300.4666082	0.400025	20.76306575	31.74009041	3.934369863	18442639.75	25.93889589	4.49599726	28.98089589	-0.561627397	32.61161111	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2008	0.956	18890	19750	10.71	1.591	4	5.584147945	297.9847507	0.434692308	20.67275137	31.7281776	3.485210383	18298284.11	25.8867377	4.496961749	29.51798087	-1.011751366	35.48708333	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2009	0.943	23160	24550	10.71	1.591	4	4.8762	283.7350493	0.38635	21.48405479	32.97987123	3.322652055	18991051.84	26.97519726	4.796556164	33.97249041	-1.47390411	33.87330556	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2010	0.985	26900	27300	10.71	1.591	4	5.168468493	293.3801014	0.428846154	21.73661096	32.46597534	3.510030137	18038346.46	26.8095726	4.662167123	31.44004384	-1.152136986	36.23652778	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2011	1.095	7400	6760	10.71	1.591	4	5.408805479	294.9837315	0.4341	20.56446575	31.67585753	3.44779726	18380251.53	25.73821918	4.462619178	28.67070685	-1.014821918	36.22863889	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2012	1.125	7490	6660	10.71	1.591	4	5.501972678	303.3629317	0.420944444	20.89662842	31.71888251	3.534579235	18183565.2	25.98975137	4.518704918	30.04805738	-0.984125683	34.725	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2013	1.133	7060	6230	10.71	1.591	4	6.012852055	320.8020767	0.424648649	20.8229863	31.24489315	4.189871233	17458033.62	25.69966301	4.267372603	27.54743014	-0.07750137	35.45955556	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2014	1.159	7370	6360	10.71	1.591	4	5.681309589	298.4765699	0.430658537	20.89846027	31.67594247	3.129038356	18301623.99	25.94190959	4.50259726	28.78458082	-1.373558904	37.25925	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2015	1.321	8430	6380	10.71	1.591	4	5.375819178	285.1995753	0.43425	21.1817726	31.87554247	3.117854795	18371012.08	26.17765753	4.461950685	27.72774521	-1.34409589	37.95283333	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2016	1.429	10190	7130	10.71	1.591	4	5.28310929	294.4809863	0.394277778	21.41734426	32.16511475	3.868245902	17904791.79	26.49420492	4.486169399	28.97572951	-0.617923497	34.85375	93.6	4.076
wheat	IN-14-0001	21.45938	81.25028	2296	2017	1.023	6940	6780	10.71	1.591	4	5.049331507	281.1152959	0.436225	21.39984384	32.40651233	2.52400274	18691135.73	26.66874247	4.668868493	30.5573726	-2.144865753	37.46052778	93.6	4.076
wheat	IN-14-0002	19.22685	81.9142	5396	2003	1.526	1770	1160	10.745	1.573	4	4.423077844	221.6166347	0.37025	19.55013425	29.84775616	4.749794521	17639863.58	24.37018356	4.249375342	25.04203836	0.500419178	28.30222222	0.8	0.014
wheat	IN-14-0002	19.22685	81.9142	5396	2004	1.545	1700	1100	10.745	1.573	4	4.40818306	216.2372486	0.418775	18.82463115	29.43274863	3.907497268	18528629.22	23.67889071	4.202483607	22.96576503	-0.294986339	31.98705556	0.8	0.014
wheat	IN-14-0002	19.22685	81.9142	5396	2005	1.545	1700	1100	10.745	1.573	4	4.226180822	210.0444959	0.412923077	19.35240822	29.89003288	3.800293151	18406891.89	24.19653151	4.307756164	24.47812055	-0.507463014	31.97741667	0.8	0.014
wheat	IN-14-0002	19.22685	81.9142	5396	2006	1.663	1630	980	10.745	1.573	4	4.535463014	222.2796986	0.414025	19.15321644	29.54887671	4.656734247	18344931.86	23.95487945	4.134652055	22.73730411	0.522082192	31.61455556	0.8	0.014
wheat	IN-14-0002	19.22685	81.9142	5396	2007	2.092	1820	870	10.745	1.573	4	4.559863014	223.6566027	0.418	19.27715342	29.89103014	4.582764384	18390000.69	24.16339452	4.259594521	24.13771507	0.323169863	31.50597222	0.8	0.014
wheat	IN-14-0002	19.22685	81.9142	5396	2008	1.944	1730	890	10.745	1.573	4	4.439715068	218.5590795	0.409461538	19.21278689	29.64713388	3.712918033	17963813.74	24.01610656	4.144800546	23.61120219	-0.431882514	30.27875	0.8	0.014
wheat	IN-14-0002	19.22685	81.9142	5396	2009	2.012	1650	820	10.745	1.573	4	3.971079452	199.7650548	0.39055	19.66163288	30.83412603	3.17010411	18931084.38	24.85232055	4.474731507	27.21853425	-1.304627397	31.70813889	0.8	0.014
wheat	IN-14-0002	19.22685	81.9142	5396	2010	2	1760	880	10.745	1.573	4	4.508852055	223.3004384	0.44502439	19.93047397	29.77743288	5.040484932	17683214.62	24.36889589	4.140972603	22.77298356	0.899512329	34.15875	0.8	0.014
