crop_name	adm_id	year	fpar
wheat	IN-06-2058	2001	27.64716667
wheat	IN-06-2058	2002	26.20172222
wheat	IN-06-2058	2003	27.97436111
wheat	IN-06-2058	2004	30.14619444
wheat	IN-06-2058	2005	32.30894444
wheat	IN-06-2058	2006	29.07952778
wheat	IN-06-2058	2007	34.43116667
wheat	IN-06-2058	2008	34.94183333
wheat	IN-06-2058	2009	34.52438889
wheat	IN-06-2058	2010	33.13563889
wheat	IN-06-2058	2011	33.4955
wheat	IN-06-2058	2012	33.14877778
wheat	IN-06-2058	2013	36.91180556
wheat	IN-06-2058	2014	37.73330556
wheat	IN-06-2058	2015	35.72802778
wheat	IN-06-2058	2016	34.86702778
wheat	IN-06-2058	2017	38.89266667
wheat	IN-06-2058	2018	35.38436111
wheat	IN-06-2058	2019	37.24005556
wheat	IN-06-2058	2020	44.95436111
wheat	IN-06-2058	2021	37.70161111
wheat	IN-06-2058	2022	42.87377778
wheat	IN-06-2058	2023	42.84111111
wheat	IN-06-0031	2001	27.30155556
wheat	IN-06-0031	2002	26.5845
wheat	IN-06-0031	2003	27.08355556
wheat	IN-06-0031	2004	28.26811111
wheat	IN-06-0031	2005	32.41580556
wheat	IN-06-0031	2006	30.47894444
wheat	IN-06-0031	2007	34.49344444
wheat	IN-06-0031	2008	34.14261111
wheat	IN-06-0031	2009	32.27316667
wheat	IN-06-0031	2010	32.58983333
wheat	IN-06-0031	2011	33.95925
wheat	IN-06-0031	2012	35.4155
wheat	IN-06-0031	2013	35.92011111
wheat	IN-06-0031	2014	37.79166667
wheat	IN-06-0031	2015	35.56005556
wheat	IN-06-0031	2016	33.06427778
wheat	IN-06-0031	2017	37.61511111
wheat	IN-06-0031	2018	35.26855556
wheat	IN-06-0031	2019	36.47783333
wheat	IN-06-0031	2020	41.42688889
wheat	IN-06-0031	2021	35.76697222
wheat	IN-06-0031	2022	41.46591667
wheat	IN-06-0031	2023	42.50508333
wheat	IN-06-2006	2001	26.48377778
