crop_name	adm_id	year	ssm	rsm
wheat	IN-06-2058	2003	4.178203593	284.8028204
wheat	IN-06-2058	2004	4.343928962	289.8530164
wheat	IN-06-2058	2005	3.812257534	281.7232959
wheat	IN-06-2058	2006	4.422024658	292.2380548
wheat	IN-06-2058	2007	4.895194521	296.475874
wheat	IN-06-2058	2008	4.735336986	291.9026274
wheat	IN-06-2058	2009	4.183150685	285.2402301
wheat	IN-06-2058	2010	4.198413699	286.9221534
wheat	IN-06-2058	2011	4.731953425	302.9067452
wheat	IN-06-2058	2012	5.025092896	300.9969945
wheat	IN-06-2058	2013	5.633873973	317.2928658
wheat	IN-06-2058	2014	5.231978082	299.0425014
wheat	IN-06-2058	2015	5.253268493	296.7566932
wheat	IN-06-2058	2016	5.008336066	305.2100984
wheat	IN-06-2058	2017	4.788613699	290.5868192
wheat	IN-06-2058	2018	4.65989589	294.1159397
wheat	IN-06-2058	2019	5.053641096	309.8084795
wheat	IN-06-2058	2020	5.119601093	294.2395137
wheat	IN-06-2058	2021	5.194161644	301.4805671
wheat	IN-06-2058	2022	5.076106849	299.0708
wheat	IN-06-2058	2023	5.138975342	297.0848027
wheat	IN-06-0031	2003	4.130685629	280.2629551
wheat	IN-06-0031	2004	4.418836066	286.4285027
wheat	IN-06-0031	2005	4.070120548	278.9004164
wheat	IN-06-0031	2006	4.554890411	288.8903014
wheat	IN-06-0031	2007	4.926734247	291.1156
wheat	IN-06-0031	2008	4.744545205	287.253737
wheat	IN-06-0031	2009	3.943027397	279.214589
wheat	IN-06-0031	2010	3.961158904	281.1239836
wheat	IN-06-0031	2011	4.595531507	294.7595973
wheat	IN-06-0031	2012	4.829734973	292.598623
wheat	IN-06-0031	2013	5.30529589	304.3179863
wheat	IN-06-0031	2014	5.025405479	291.9654959
wheat	IN-06-0031	2015	4.851093151	285.884263
wheat	IN-06-0031	2016	4.650628415	293.4801011
wheat	IN-06-0031	2017	4.473945205	284.7875671
wheat	IN-06-0031	2018	4.516473973	288.5823014
wheat	IN-06-0031	2019	4.772975342	303.1360712
wheat	IN-06-0031	2020	4.923010929	287.6561448
